installer,opcode,handler,engine_va,patch_len
FUN_52dc32900,E9_jmp,&LAB_52d881d0,0x00619445,5
FUN_52dc32900,E9_jmp,&LAB_52d881c0,0x00777489,5
FUN_52dc32900,E9_jmp,&LAB_52d881b0,0x00773A9D,5
FUN_52dc32400,E8_call,&LAB_52d88190,0x0077624D,5
FUN_52dc32400,E8_call,&LAB_52d88190,0x00776348,5
FUN_52dc32400,E8_call,&LAB_52d88190,0x0077A029,5
FUN_52dc32400,E8_call,&LAB_52d88180,0x00777350,5
FUN_52dc32400,E8_call,&LAB_52d88180,0x00787497,5
FUN_52dc32900,E9_jmp,&LAB_52d881a0,0x00719F5C,6
FUN_52dc32900,E9_jmp,&LAB_52d884f0,0x00542C6E,11
FUN_52dc32900,E9_jmp,&LAB_52d884d0,0x00542B1A,11
FUN_52dc32400,E8_call,&LAB_52d87e50,0x00643E9B,5
FUN_52dc32900,E9_jmp,&LAB_52d884a0,0x006EE19C,30
FUN_52dc32900,E9_jmp,&LAB_52d88470,0x006EDD29,30
FUN_52dc32900,E9_jmp,&LAB_52d88170,0x0071E25C,8
FUN_52dc32900,E9_jmp,&LAB_52d88150,0x00720D9D,10
FUN_52dc32900,E9_jmp,&LAB_52d88140,0x007206B4,5
FUN_52dc32900,E9_jmp,&LAB_52d88120,0x0045B93A,7
FUN_52dc32900,E9_jmp,&LAB_52d88040,0x004D42EB,10
FUN_52dc32900,E9_jmp,&LAB_52d88020,0x004D429E,10
FUN_52dc32900,E9_jmp,&LAB_52d88000,0x004D42C7,10
FUN_52dc32400,E8_call,FUN_52d87fe0,0x0043D828,5
FUN_52dc32400,E8_call,FUN_52d87fc0,0x0043F612,5
FUN_52dc32400,E8_call,FUN_52d87fa0,0x00446BF9,5
FUN_52dc32400,E8_call,FUN_52d87f80,0x004A154D,5
FUN_52dc32400,E8_call,FUN_52d87f60,0x00561206,5
FUN_52dc32400,E8_call,FUN_52d87df0,0x007BCBDB,5
FUN_52dc32400,E8_call,FUN_52d8bc20,0x004D7939,5
FUN_52dc32900,E9_jmp,&LAB_52d8bc00,0x004D78ED,10
FUN_52dc32400,E8_call,FUN_52d8ba30,0x004D7947,5
FUN_52dc32900,E9_jmp,&LAB_52d8ba10,0x004D790A,5
FUN_52dc32400,E8_call,FUN_52d8c980,0x006D794D,5
FUN_52dc32400,E8_call,FUN_52d8cb90,0x0073FF92,5
FUN_52dc32400,E8_call,FUN_52d8cca0,0x006DAA37,5
FUN_52dc32400,E8_call,FUN_52d8cca0,0x006D79EE,5
FUN_52dc32400,E8_call,FUN_52d8cca0,0x006DA9A4,5
FUN_52dc32400,E8_call,FUN_52d8cca0,0x006D7AB6,5
FUN_52dc32400,E8_call,FUN_52d8cc60,0x006D78BD,5
FUN_52dc32400,E8_call,FUN_52d8cc60,0x006DA5D0,5
FUN_52dc32900,E9_jmp,FUN_52d8d050,0x006C8DB4,7
FUN_52dc32900,E9_jmp,&LAB_52d8cff0,0x006C7925,11
FUN_52dc32900,E9_jmp,&LAB_52d8cfe0,0x006C7800,11
FUN_52dc32400,E8_call,&LAB_52d8e5f0,0x00776150,5
FUN_52dc32400,E8_call,&LAB_52d8e530,0x00775F91,5
FUN_52dc32900,E9_jmp,&LAB_52d99a70,0x0068EDAC,6
FUN_52dc32900,E9_jmp,&LAB_52d9a010,0x0080E6EF,7
FUN_52dc32400,E8_call,&LAB_52d99f90,0x006B9CAB,5
FUN_52dc32900,E9_jmp,&LAB_52d99ee0,0x006B9F80,5
FUN_52dc32400,E8_call,FUN_52d99e60,0x0080E5D6,5
FUN_52dc32900,E9_jmp,&LAB_52d99e40,0x0080E20E,5
FUN_52dc32900,E9_jmp,&LAB_52d99d40,0x0080E9A4,8
FUN_52dc32900,E9_jmp,&LAB_52d99d30,0x0080E0C7,5
FUN_52dc32900,E9_jmp,&LAB_52d99cf0,0x0080E412,7
FUN_52dc32400,E8_call,&LAB_52d9af80,0x005D776C,6
FUN_52dc32400,E8_call,FUN_52d9b0a0,0x005E4836,5
FUN_52dc32900,E9_jmp,&LAB_52d9af50,0x005E4853,18
FUN_52dc32900,E9_jmp,&LAB_52d9af30,0x0086DA64,5
FUN_52dc32900,E9_jmp,&LAB_52d9abd0,0x005D7B9E,5
FUN_52dc32900,E9_jmp,&LAB_52d9abb0,0x0086DB9E,13
FUN_52dc32900,E9_jmp,&LAB_52d9a880,0x005E58A4,8
FUN_52dc32900,E9_jmp,&LAB_52d9a860,0x005E593F,11
FUN_52dc32900,E9_jmp,&LAB_52d9a6d0,0x0086DAEF,5
FUN_52dc32900,E9_jmp,&LAB_52d9a550,0x008009F9,8
FUN_52dc32400,E8_call,FUN_52d9a660,0x007932DA,5
FUN_52dc32400,E8_call,FUN_52d9a4e0,0x006FEBE1,5
FUN_52dc32400,E8_call,FUN_52d9a4c0,0x00415AA1,5
FUN_52dc32900,E9_jmp,&LAB_52d9a470,0x0050DB04,5
FUN_52dc32400,E8_call,FUN_52da5130,0x0083AE47,5
FUN_52dc32400,E8_call,FUN_52da54a0,0x005D910E,5
FUN_52dc32400,E8_call,FUN_52da54a0,0x005D9F6C,5
FUN_52dc32400,E8_call,FUN_52da5bd0,0x007A038B,5
FUN_52dc32400,E8_call,&LAB_52da5840,0x0068A0A2,5
FUN_52dc32400,E8_call,&LAB_52da5840,0x0068A0EE,5
FUN_52dc32400,E8_call,&LAB_52da5840,0x0068A151,5
FUN_52dc32400,E8_call,FUN_52da5e40,0x0076199E,5
FUN_52dc32900,E9_jmp,&LAB_52da5e20,0x007619A6,13
FUN_52dc32400,E8_call,FUN_52da5f60,0x007A365B,5
FUN_52dc32400,E8_call,FUN_52da5f60,0x007A369F,5
FUN_52dc32400,E8_call,FUN_52da5f60,0x007A36DE,5
FUN_52dc32900,E9_jmp,&LAB_52da5f10,0x007A3BC4,5
FUN_52dc32400,E8_call,FUN_52da6cd0,0x0044074E,5
FUN_52dc32900,E9_jmp,&LAB_52da6d70,0x0043EBEF,6
FUN_52dc32900,E9_jmp,&LAB_52da6d40,0x0043E9BB,5
FUN_52dc32400,E8_call,FUN_52da6e50,0x0067C4ED,5
FUN_52dc32900,E9_jmp,&LAB_52da6e30,0x007318DD,6
FUN_52dc32900,E9_jmp,&LAB_52da6e20,0x00731BAF,7
FUN_52dc32900,E9_jmp,&LAB_52da7070,0x0081097E,7
FUN_52dc32900,E9_jmp,&LAB_52dabba0,0x008049D1,5
FUN_52dc32900,E9_jmp,&LAB_52dabad0,0x00802F6C,40
FUN_52dc32900,E9_jmp,&LAB_52dabac0,0x00802F07,40
FUN_52dc32900,E9_jmp,&LAB_52dabab0,0x00802F3C,40
FUN_52dc32400,E8_call,FUN_52db03c0,0x00800347,5
FUN_52dc32900,E9_jmp,&LAB_52db0320,0x005C36CC,6
FUN_52dc32900,E9_jmp,0x544228,0x00544174,6
FUN_52dc32900,E9_jmp,&LAB_52db11e0,0x00546C7C,5
FUN_52dc32400,E8_call,FUN_52db2240,0x005474D4,5
FUN_52dc32900,E9_jmp,&LAB_52db1ea0,0x005471F8,5
FUN_52dc32900,E9_jmp,&LAB_52db1e80,0x005474E3,5
FUN_52dc32400,E8_call,FUN_52db2240,0x004A9C0C,5
FUN_52dc32400,E8_call,FUN_52db2240,0x004A9D28,5
FUN_52dc32900,E9_jmp,&LAB_52db0db0,0x0063EA8D,5
FUN_52dc32900,E9_jmp,&LAB_52db2320,0x00836E8F,6
FUN_52dc32900,E9_jmp,&LAB_52db2310,0x00663784,5
FUN_52dc32900,E9_jmp,&LAB_52db22f0,0x00663BC9,8
FUN_52dc32900,E9_jmp,&LAB_52db22d0,0x00663C13,8
FUN_52dc32400,E8_call,FUN_52db09a0,0x0072E6F5,5
FUN_52dc32400,E8_call,&LAB_52db0980,0x00660992,5
FUN_52dc32900,E9_jmp,&LAB_52db0840,0x0080616E,7
FUN_52dc32400,E8_call,FUN_52db36f0,0x005A15B2,5
FUN_52dc32400,E8_call,FUN_52db36f0,0x005A15C4,5
FUN_52dc32400,E8_call,FUN_52db36d0,0x00594C86,5
FUN_52dc32400,E8_call,FUN_52db36d0,0x00594C98,5
FUN_52dc32900,E9_jmp,&LAB_52db3750,0x0082A827,6
FUN_52dc32400,E8_call,FUN_52db3800,0x0080EF00,5
FUN_52dc32400,E8_call,FUN_52db3800,0x0080F2D3,5
FUN_52dc32400,E8_call,FUN_52db3800,0x0080F732,5
FUN_52dc32400,E8_call,FUN_52db3800,0x0080FA4B,5
FUN_52dc32900,E9_jmp,&LAB_52db3f10,0x00815584,9
FUN_52dc32400,E8_call,FUN_52db3ee0,0x0081557D,5
FUN_52dc32400,E8_call,FUN_52db3ee0,0x00828BD6,5
FUN_52dc32400,E8_call,FUN_52db3eb0,0x00828D6B,5
FUN_52dc32400,E8_call,FUN_52db3e70,0x00578A6F,5
FUN_52dc32400,E8_call,FUN_52db4460,0x00579031,5
FUN_52dc32400,E8_call,FUN_52db44c0,0x005A6B8A,5
FUN_52dc32400,E8_call,FUN_52db44c0,0x005A6B68,5
FUN_52dc32400,E8_call,FUN_52db44c0,0x005A6B49,5
FUN_52dc32400,E8_call,FUN_52db4400,0x0054E073,5
FUN_52dc32400,E8_call,FUN_52db43e0,0x005A77B7,5
FUN_52dc32400,E8_call,FUN_52db44c0,0x005A7ED9,5
FUN_52dc32400,E8_call,FUN_52db44e0,0x0052FB3D,5
FUN_52dc32400,E8_call,FUN_52db44e0,0x0052FB1B,5
FUN_52dc32400,E8_call,FUN_52db4380,0x0052F035,5
FUN_52dc32400,E8_call,FUN_52db43a0,0x0052EF94,5
FUN_52dc32400,E8_call,FUN_52db44e0,0x0055B77D,5
FUN_52dc32400,E8_call,FUN_52db44e0,0x0055926F,5
FUN_52dc32400,E8_call,FUN_52db44e0,0x00558FA4,5
FUN_52dc32400,E8_call,FUN_52db4540,0x00552F2F,5
FUN_52dc32400,E8_call,FUN_52db4500,0x0058A5B7,5
FUN_52dc32400,E8_call,FUN_52db4500,0x0054BC4E,5
FUN_52dc32400,E8_call,FUN_52db4540,0x0054B0F0,5
FUN_52dc32400,E8_call,FUN_52db4540,0x0054B0FF,5
FUN_52dc32400,E8_call,FUN_52db4540,0x0054B028,5
FUN_52dc32400,E8_call,FUN_52db4540,0x0054B037,5
FUN_52dc32400,E8_call,FUN_52db4430,0x0054E073,5
FUN_52dc32400,E8_call,FUN_52db4540,0x0054B6C1,5
FUN_52dc32400,E8_call,FUN_52db4500,0x0054AA26,5
FUN_52dc32400,E8_call,FUN_52db4500,0x0054A9EC,5
FUN_52dc32400,E8_call,FUN_52db4500,0x0054A9CD,5
FUN_52dc32400,E8_call,FUN_52db4540,0x0057BA35,5
FUN_52dc32400,E8_call,FUN_52db43c0,0x0057D1DD,5
FUN_52dc32400,E8_call,FUN_52db4540,0x0057A041,5
FUN_52dc32400,E8_call,FUN_52db4540,0x0057A04C,5
FUN_52dc32400,E8_call,FUN_52db4540,0x0057AEB5,5
FUN_52dc32400,E8_call,FUN_52db4520,0x00573FC8,5
FUN_52dc32400,E8_call,FUN_52db4520,0x00573F7D,5
FUN_52dc32400,E8_call,FUN_52db4560,0x005768C5,5
FUN_52dc32400,E8_call,FUN_52db4560,0x005768F6,5
FUN_52dc32400,E8_call,FUN_52db4560,0x0056A85F,5
FUN_52dc32400,E8_call,FUN_52db4520,0x0056CE67,5
FUN_52dc32400,E8_call,FUN_52db4520,0x0056CE84,0
FUN_52dc32400,E8_call,FUN_52db4560,0x0056B1FB,5
FUN_52dc32400,E8_call,FUN_52db4560,0x0056B20A,5
FUN_52dc32900,E9_jmp,FUN_52db4bf0,0x0077A684,18
FUN_52dc32900,E9_jmp,FUN_52db4bd0,0x0077A698,25
FUN_52dc32900,E9_jmp,FUN_52db4bb0,0x0077A6B4,21
FUN_52dc32900,E9_jmp,FUN_52db4b90,0x0077A6CC,25
FUN_52dc32900,E9_jmp,&LAB_52db5410,0x00624503,15
FUN_52dc32900,E9_jmp,&LAB_52db5440,0x0065D8CB,9
FUN_52dc32400,E8_call,FUN_52db5e80,0x00529CFB,5
FUN_52dc32400,E8_call,FUN_52db5e80,0x00529427,5
FUN_52dc32400,E8_call,&LAB_52db5e10,0x005284EA,5
FUN_52dc32400,E8_call,&LAB_52db5e00,0x00528D2E,5
FUN_52dc32900,E9_jmp,&LAB_52db8b50,0x005D2B98,5
FUN_52dc32900,E9_jmp,&LAB_52db8b30,0x0072D1CD,5
FUN_52dc32900,E9_jmp,&LAB_52db8af0,0x00726DAE,5
FUN_52dc32900,E9_jmp,&LAB_52db8ad0,0x00726DA1,5
FUN_52dc32900,E9_jmp,&LAB_52db8ab0,0x00726D81,5
FUN_52dc32900,E9_jmp,&LAB_52db8a90,0x00726D64,5
FUN_52dc32900,E9_jmp,&LAB_52db8a70,0x00726D76,5
FUN_52dc32900,E9_jmp,&LAB_52db8a30,0x0072D30B,6
FUN_52dc32900,E9_jmp,&LAB_52db8a00,0x0072D304,5
FUN_52dc32900,E9_jmp,&LAB_52db89c0,0x0072D34E,5
FUN_52dc32900,E9_jmp,FUN_52db8ec0,0x007A60DC,14
FUN_52dc32400,E8_call,FUN_52db8ff0,0x005E4DA8,5
FUN_52dc32400,E8_call,FUN_52db8fc0,0x005E5510,5
FUN_52dc32900,E9_jmp,&LAB_52db8f20,0x0070AE4F,26
FUN_52dc32400,E8_call,FUN_52db9230,0x007862F4,5
FUN_52dc32400,E8_call,FUN_52db9200,0x0078635F,5
FUN_52dc32400,E8_call,FUN_52db91a0,0x005E84FD,5
FUN_52dc32900,E9_jmp,&LAB_52db9140,0x005E8773,10
FUN_52dc32400,E8_call,FUN_52db9080,0x00785169,5
FUN_52dc32400,E8_call,FUN_52db9060,0x0070ADE1,5
FUN_52dc32400,E8_call,FUN_52db90b0,0x0078515E,5
FUN_52dc32400,E8_call,FUN_52db90b0,0x0070AD5C,22
FUN_52dc32400,E8_call,FUN_52db90b0,0x0070F555,22
FUN_52dc32400,E8_call,FUN_52db90d0,0x0070AD18,5
FUN_52dc32400,E8_call,FUN_52db98c0,0x005886F7,5
FUN_52dc32900,E9_jmp,&LAB_52dba3e0,0x006B14F4,5
FUN_52dc32900,E9_jmp,&LAB_52dbcad0,0x00778CC9,6
FUN_52dc32900,E9_jmp,&LAB_52dbca20,0x00775927,5
FUN_52dc32900,E9_jmp,&LAB_52dbc9f0,0x0077597D,8
FUN_52dc32900,E9_jmp,&LAB_52dbc9d0,0x00775657,5
FUN_52dc32900,E9_jmp,&LAB_52dbc9a0,0x007757DB,8
FUN_52dc32900,E9_jmp,&LAB_52dbc960,0x00778BEE,6
FUN_52dc32900,E9_jmp,&LAB_52dbc920,0x007789CE,6
FUN_52dc32900,E9_jmp,&LAB_52dbc8e0,0x007761BE,6
FUN_52dc32900,E9_jmp,&LAB_52dbc8b0,0x0077636C,20
FUN_52dc32900,E9_jmp,&LAB_52dbc870,0x00775E5F,6
FUN_52dc32900,E9_jmp,&LAB_52dbc840,0x00775FD0,20
FUN_52dc32900,E9_jmp,&LAB_52dbc800,0x00776021,6
FUN_52dc32900,E9_jmp,&LAB_52dbc7d0,0x0077616D,20
FUN_52dc32900,E9_jmp,&LAB_52dbc780,0x007744E2,5
FUN_52dc32900,E9_jmp,FUN_52dbc710,0x0078B220,5
FUN_52dc32900,E9_jmp,&LAB_52db97d0,0x005556A1,10
FUN_52dc32900,E9_jmp,&LAB_52dbf480,0x005E589B,7
FUN_52dc32900,E9_jmp,&LAB_52dbf460,0x005E592E,6
FUN_52dc32900,E9_jmp,&LAB_52dbfa10,0x005D4C2D,10
FUN_52dc32900,E9_jmp,&LAB_52dbf920,0x005E14D3,19
FUN_52dc32900,E9_jmp,&LAB_52dbf8e0,0x005E1779,7
FUN_52dc32900,E9_jmp,&LAB_52dbf6e0,0x005E1E7A,5
FUN_52dc32900,E9_jmp,&LAB_52dbf6b0,0x005E1938,7
FUN_52dc32900,E9_jmp,&LAB_52dbf670,0x005D141D,7
FUN_52dc32900,E9_jmp,&LAB_52dbf650,0x005E267E,7
FUN_52dc32900,E9_jmp,&LAB_52dbf630,0x005E141E,7
FUN_52dc32900,E9_jmp,&LAB_52dc0610,0x005FBFE3,7
FUN_52dc32900,E9_jmp,&LAB_52dc2910,0x005E94C8,7
FUN_52dc32900,E9_jmp,&LAB_52dc28d0,0x005EE9EE,12
FUN_52dc32900,E9_jmp,&LAB_52dc2510,0x005FEFEB,10
FUN_52dc32900,E9_jmp,&LAB_52dc24e0,0x005F833C,7
FUN_52dc32900,E9_jmp,&LAB_52dc24a0,0x005FB317,7
FUN_52dc32900,E9_jmp,&LAB_52dc0f00,0x005E7F4D,5
FUN_52dc32900,E9_jmp,&LAB_52dbfce0,0x005C6FD7,5
FUN_52dc32900,E9_jmp,&LAB_52dbfb70,0x005FF95D,5
FUN_52dc32900,E9_jmp,&LAB_52dbfbf0,0x005F4A19,6
FUN_52dc32900,E9_jmp,&LAB_52dbfbd0,0x005F485C,6
FUN_52dc32900,E9_jmp,&LAB_52dbfdf0,0x005E4F9C,5
FUN_52dc32900,E9_jmp,&LAB_52dbfda0,0x005E4EDD,8
FUN_52dc32900,E9_jmp,&LAB_52dbfd60,0x005E51B3,5
FUN_52dc32900,E9_jmp,&LAB_52dbff40,0x005EE6FC,10
FUN_52dc32900,E9_jmp,&LAB_52dc0350,0x005F21D8,6
FUN_52dc32900,E9_jmp,&LAB_52dc0330,0x005F20A1,5
FUN_52dc32900,E9_jmp,&LAB_52dc0070,0x005E6F01,8
FUN_52dc32900,E9_jmp,&LAB_52dc0050,0x005E6DFA,6
FUN_52dc32900,E9_jmp,&LAB_52dc0030,0x005E7002,7
FUN_52dc32900,E9_jmp,&LAB_52dc04d0,0x005FC1E3,10
