installer,opcode,handler,engine_va,patch_len,handler_prior_va,handler_rva,handler_current_va
FUN_52dc32900,E9_jmp,&LAB_52d881d0,0x00619445,5,0x52D881D0,0x009CA190,0x78E4A190
FUN_52dc32900,E9_jmp,&LAB_52d881c0,0x00777489,5,0x52D881C0,0x009CA180,0x78E4A180
FUN_52dc32900,E9_jmp,&LAB_52d881b0,0x00773A9D,5,0x52D881B0,0x009CA170,0x78E4A170
FUN_52dc32400,E8_call,&LAB_52d88190,0x0077624D,5,0x52D88190,0x009CA150,0x78E4A150
FUN_52dc32400,E8_call,&LAB_52d88190,0x00776348,5,0x52D88190,0x009CA150,0x78E4A150
FUN_52dc32400,E8_call,&LAB_52d88190,0x0077A029,5,0x52D88190,0x009CA150,0x78E4A150
FUN_52dc32400,E8_call,&LAB_52d88180,0x00777350,5,0x52D88180,0x009CA140,0x78E4A140
FUN_52dc32400,E8_call,&LAB_52d88180,0x00787497,5,0x52D88180,0x009CA140,0x78E4A140
FUN_52dc32900,E9_jmp,&LAB_52d881a0,0x00719F5C,6,0x52D881A0,0x009CA160,0x78E4A160
FUN_52dc32900,E9_jmp,&LAB_52d884f0,0x00542C6E,11,0x52D884F0,0x009CA4B0,0x78E4A4B0
FUN_52dc32900,E9_jmp,&LAB_52d884d0,0x00542B1A,11,0x52D884D0,0x009CA490,0x78E4A490
FUN_52dc32400,E8_call,&LAB_52d87e50,0x00643E9B,5,0x52D87E50,0x009C9E10,0x78E49E10
FUN_52dc32900,E9_jmp,&LAB_52d884a0,0x006EE19C,30,0x52D884A0,0x009CA460,0x78E4A460
FUN_52dc32900,E9_jmp,&LAB_52d88470,0x006EDD29,30,0x52D88470,0x009CA430,0x78E4A430
FUN_52dc32900,E9_jmp,&LAB_52d88170,0x0071E25C,8,0x52D88170,0x009CA130,0x78E4A130
FUN_52dc32900,E9_jmp,&LAB_52d88150,0x00720D9D,10,0x52D88150,0x009CA110,0x78E4A110
FUN_52dc32900,E9_jmp,&LAB_52d88140,0x007206B4,5,0x52D88140,0x009CA100,0x78E4A100
FUN_52dc32900,E9_jmp,&LAB_52d88120,0x0045B93A,7,0x52D88120,0x009CA0E0,0x78E4A0E0
FUN_52dc32900,E9_jmp,&LAB_52d88040,0x004D42EB,10,0x52D88040,0x009CA000,0x78E4A000
FUN_52dc32900,E9_jmp,&LAB_52d88020,0x004D429E,10,0x52D88020,0x009C9FE0,0x78E49FE0
FUN_52dc32900,E9_jmp,&LAB_52d88000,0x004D42C7,10,0x52D88000,0x009C9FC0,0x78E49FC0
FUN_52dc32400,E8_call,FUN_52d87fe0,0x0043D828,5,0x52D87FE0,0x009C9FA0,0x78E49FA0
FUN_52dc32400,E8_call,FUN_52d87fc0,0x0043F612,5,0x52D87FC0,0x009C9F80,0x78E49F80
