prior_va,global,macro,string_rva,string
0x5313F208,HKLM,KEY_EPHINEA,14160392,Software\\SonicTeam\\PSOBB\\Ephinea
0x5313FFE4,HKLM2,KEY_PSOBB,14163940,Software\\SonicTeam\\PSOBB
0x5313F24C,538785a4,VAL_LOW_PERF,14162096,LOW_PERF
0x5313F26C,5388f9c0,VAL_RES_HUD,14161948,RES_HUD
0x5313F290,5318e940,VAL_DGV_PRESENTATION,14160492,DGV_PRESENTATION
0x5313F2A4,5318eed4,VAL_VSYNC,14160528,DGV_VRAM
0x5313F2B8,5318f240,VAL_FRAME_LIMIT,14162116,CLASSIC_INTRO
0x5313F2CC,5318f028,VAL_MSAA,14160676,MSAA_QUALITY
0x5313F2DC,5318dcfc,VAL_TEXTURE_FILTER,14160548,USE_BLOOM
0x5313F2F4,53835c5c,VAL_DISABLE_MIPMAPS,14160460,DISABLE_MIPMAPS
0x5313F310,53870578,VAL_RENDER_MODE,14160656,USE_D3D9
0x5313F324,53a9895c,VAL_NEW_RES,14161912,NEW_RES
0x5313F7BC,5318d210,VAL_NEW_RES_WIDTH,14161852,NEW_RES_WIDTH
0x5313F7D8,5318dcdc,VAL_NEW_RES_HEIGHT,14161880,NEW_RES_HEIGHT
0x5313F7F8,5388f988,VAL_NEW_RES_IDX,14161912,NEW_RES
0x5313F808,5382fe9c,VAL_HUD_SCALE,14161928,HUD_SCALE
0x5313F81C,53857a5c,VAL_WIDESCREEN,14162016,CLASSIC_FULLSCREEN
0x5313F82C,5388ed90,VAL_LANG,14161972,LANG
0x53140048,match,STR_MATCH_PSOBB,14163940,Software\\SonicTeam\\PSOBB
0x53140054,resource,STR_RESOURCE,14156456,Ephinea: Phantasy Star Online Blue Burst
